City,AQI Value,AQI Category,CO AQI Value,CO AQI Category,Ozone AQI Value,Ozone AQI Category,NO2 AQI Value,NO2 AQI Category,PM2.5 AQI Value,PM2.5 AQI Category
Praskoveya,51,Moderate,1,Good,36,Good,0,Good,51,Moderate
Presidente Dutra,41,Good,1,Good,5,Good,1,Good,41,Good
Priolo Gargallo,66,Moderate,1,Good,39,Good,2,Good,66,Moderate
Przasnysz,34,Good,1,Good,34,Good,0,Good,20,Good
Punaauia,22,Good,0,Good,22,Good,0,Good,6,Good
Punta Gorda,54,Moderate,1,Good,14,Good,11,Good,54,Moderate
Puttlingen,62,Moderate,1,Good,35,Good,3,Good,62,Moderate
Puurs,64,Moderate,1,Good,29,Good,7,Good,64,Moderate
Pyatigorsk,54,Moderate,1,Good,41,Good,1,Good,54,Moderate
Qalyub,142,Unhealthy for Sensitive Groups,3,Good,89,Moderate,9,Good,142,Unhealthy for Sensitive Groups
Qinzhou,68,Moderate,2,Good,68,Moderate,1,Good,58,Moderate
Raalte,41,Good,1,Good,24,Good,6,Good,41,Good
Radaur,158,Unhealthy,3,Good,139,Unhealthy for Sensitive Groups,1,Good,158,Unhealthy
Radhan,158,Unhealthy,1,Good,50,Good,1,Good,158,Unhealthy
Radovis,83,Moderate,1,Good,46,Good,0,Good,83,Moderate
Raismes,59,Moderate,1,Good,30,Good,4,Good,59,Moderate
Rajgir,154,Unhealthy,3,Good,100,Unhealthy for Sensitive Groups,2,Good,154,Unhealthy
Ramacca,55,Moderate,1,Good,47,Good,0,Good,55,Moderate
Phoenix,72,Moderate,1,Good,4,Good,23,Good,72,Moderate
Phulabani,161,Unhealthy,2,Good,71,Moderate,0,Good,161,Unhealthy
Piaseczno,28,Good,1,Good,28,Good,2,Good,28,Good
Pimpri,118,Unhealthy for Sensitive Groups,2,Good,30,Good,2,Good,118,Unhealthy for Sensitive Groups
Pindobacu,33,Good,0,Good,10,Good,1,Good,33,Good
Pingyin,150,Unhealthy,3,Good,95,Moderate,6,Good,150,Unhealthy
Pinheiral,154,Unhealthy,5,Good,0,Good,13,Good,154,Unhealthy
Piravam,81,Moderate,1,Good,24,Good,1,Good,81,Moderate
Plato,67,Moderate,1,Good,16,Good,2,Good,67,Moderate
Poiana Mare,62,Moderate,1,Good,37,Good,1,Good,62,Moderate
Polevskoy,31,Good,1,Good,31,Good,0,Good,17,Good
Pontarlier,56,Moderate,1,Good,35,Good,0,Good,56,Moderate
Pontiac,77,Moderate,2,Good,22,Good,15,Good,77,Moderate
Pontianak,44,Good,1,Good,15,Good,0,Good,44,Good
Porecatu,30,Good,1,Good,9,Good,2,Good,30,Good
Pori,30,Good,1,Good,30,Good,1,Good,15,Good
Port Elizabeth,79,Moderate,3,Good,18,Good,5,Good,79,Moderate
Port Neches,34,Good,1,Good,19,Good,7,Good,34,Good
Port Talbot,51,Moderate,1,Good,20,Good,5,Good,51,Moderate
Portales,77,Moderate,1,Good,34,Good,0,Good,77,Moderate
Post Falls,61,Moderate,1,Good,32,Good,3,Good,61,Moderate
Pouso Alegre,32,Good,1,Good,7,Good,2,Good,32,Good
Dalinghe,64,Moderate,3,Good,64,Moderate,4,Good,64,Moderate
Dalnegorsk,29,Good,0,Good,29,Good,0,Good,25,Good
Dar Es Salaam,51,Moderate,1,Good,23,Good,0,Good,51,Moderate
Darbhanga,247,Very Unhealthy,3,Good,162,Unhealthy,1,Good,247,Very Unhealthy
Dayton,45,Good,1,Good,32,Good,7,Good,45,Good
Deinze,36,Good,1,Good,25,Good,3,Good,36,Good
Dekernes,81,Moderate,2,Good,81,Moderate,4,Good,56,Moderate
Delmas,124,Unhealthy for Sensitive Groups,2,Good,15,Good,5,Good,124,Unhealthy for Sensitive Groups
Deming,72,Moderate,1,Good,26,Good,2,Good,72,Moderate
Denton,55,Moderate,0,Good,32,Good,1,Good,55,Moderate
Destin,31,Good,0,Good,31,Good,0,Good,25,Good
Dhadar,157,Unhealthy,1,Good,89,Moderate,0,Good,157,Unhealthy
Dharmapuri,60,Moderate,1,Good,31,Good,1,Good,60,Moderate
Digri,153,Unhealthy,1,Good,40,Good,0,Good,153,Unhealthy
Dinsor,22,Good,0,Good,19,Good,0,Good,22,Good
Dipolog,30,Good,1,Good,17,Good,0,Good,30,Good
Dobele,44,Good,1,Good,34,Good,0,Good,44,Good
Grandville,47,Good,1,Good,37,Good,4,Good,47,Good
Grave,37,Good,0,Good,32,Good,2,Good,37,Good
Green Valley,44,Good,1,Good,14,Good,8,Good,44,Good
Greendale,58,Moderate,2,Good,14,Good,24,Good,58,Moderate
Grudziadz,37,Good,0,Good,33,Good,0,Good,37,Good
Guamo,89,Moderate,3,Good,3,Good,6,Good,89,Moderate
Guardiagrele,52,Moderate,2,Good,38,Good,7,Good,52,Moderate
Guelengdeng,59,Moderate,2,Good,16,Good,0,Good,59,Moderate
Guildford,51,Moderate,1,Good,25,Good,6,Good,51,Moderate
Guiset,66,Moderate,1,Good,26,Good,1,Good,66,Moderate
Gukovo,38,Good,1,Good,38,Good,0,Good,13,Good
Havre De Grace,34,Good,1,Good,30,Good,7,Good,34,Good
Hazelwood,88,Moderate,2,Good,11,Good,20,Good,88,Moderate
Heddesheim,54,Moderate,1,Good,31,Good,3,Good,54,Moderate
Heiligenhaus,44,Good,1,Good,28,Good,3,Good,44,Good
Hemel Hempstead,51,Moderate,1,Good,26,Good,6,Good,51,Moderate
Hicksville,67,Moderate,2,Good,15,Good,23,Good,67,Moderate
Hidrolandia,42,Good,1,Good,5,Good,2,Good,42,Good
Gyanpur,189,Unhealthy,2,Good,99,Moderate,1,Good,189,Unhealthy
Haiger,49,Good,1,Good,25,Good,3,Good,49,Good
Hangzhou,203,Very Unhealthy,5,Good,203,Very Unhealthy,5,Good,151,Unhealthy
Harrislee,35,Good,0,Good,32,Good,0,Good,35,Good
Harrison,90,Moderate,1,Good,25,Good,2,Good,90,Moderate
Harur,67,Moderate,1,Good,26,Good,1,Good,67,Moderate
Hasbergen,36,Good,0,Good,34,Good,1,Good,36,Good
Haubourdin,48,Good,1,Good,28,Good,4,Good,48,Good
Taunton,41,Good,1,Good,28,Good,10,Good,41,Good
Tauranga,19,Good,0,Good,19,Good,1,Good,17,Good
Tawzar,73,Moderate,1,Good,43,Good,0,Good,73,Moderate
Tay Ninh,45,Good,0,Good,18,Good,1,Good,45,Good
Taybad,170,Unhealthy,1,Good,43,Good,0,Good,170,Unhealthy
Teano,47,Good,1,Good,47,Good,1,Good,36,Good
Tekkali,155,Unhealthy,3,Good,82,Moderate,1,Good,155,Unhealthy
Teodoro Sampaio,46,Good,1,Good,9,Good,1,Good,46,Good
Tepeaca,172,Unhealthy,5,Good,2,Good,11,Good,172,Unhealthy
Tequila,64,Moderate,1,Good,15,Good,2,Good,64,Moderate
Teramo,44,Good,1,Good,44,Good,1,Good,38,Good
Thai Nguyen,150,Unhealthy,3,Good,150,Unhealthy,1,Good,105,Unhealthy for Sensitive Groups
Tianjin,142,Unhealthy for Sensitive Groups,4,Good,113,Unhealthy for Sensitive Groups,9,Good,142,Unhealthy for Sensitive Groups
Tidore,21,Good,0,Good,13,Good,0,Good,21,Good
Timisoara,47,Good,1,Good,42,Good,0,Good,47,Good
Tinjah,48,Good,1,Good,48,Good,1,Good,29,Good
Toboso,54,Moderate,1,Good,20,Good,0,Good,54,Moderate
Tokorozawa,60,Moderate,1,Good,44,Good,3,Good,60,Moderate
Toluca,166,Unhealthy,4,Good,8,Good,19,Good,166,Unhealthy
Itapissuma,27,Good,0,Good,23,Good,1,Good,27,Good
Itarantim,23,Good,1,Good,7,Good,1,Good,23,Good
Itumbiara,31,Good,1,Good,13,Good,0,Good,31,Good
Ixtaczoquitlan,88,Moderate,3,Good,13,Good,9,Good,88,Moderate
Izalco,90,Moderate,2,Good,22,Good,9,Good,90,Moderate
Izazi,28,Good,1,Good,15,Good,0,Good,28,Good
Izberbash,51,Moderate,1,Good,38,Good,0,Good,51,Moderate
Jabalpur,170,Unhealthy,1,Good,38,Good,0,Good,170,Unhealthy
Jaguaquara,22,Good,0,Good,9,Good,1,Good,22,Good
Jahanabad,168,Unhealthy,4,Good,168,Unhealthy,1,Good,156,Unhealthy
Jambol,40,Good,1,Good,40,Good,0,Good,32,Good
Jarocin,47,Good,1,Good,27,Good,2,Good,47,Good
Jasaan,59,Moderate,1,Good,32,Good,0,Good,59,Moderate
Ilobu,133,Unhealthy for Sensitive Groups,4,Good,23,Good,3,Good,133,Unhealthy for Sensitive Groups
Imatra,29,Good,1,Good,29,Good,1,Good,7,Good
Indaial,73,Moderate,2,Good,2,Good,8,Good,73,Moderate
Indang,50,Good,0,Good,24,Good,0,Good,50,Good
Itagi,25,Good,0,Good,9,Good,1,Good,25,Good
Iseyin,90,Moderate,3,Good,18,Good,2,Good,90,Moderate
Isla,81,Moderate,2,Good,26,Good,3,Good,81,Moderate
Itaitinga,29,Good,0,Good,20,Good,1,Good,29,Good
Itambe,21,Good,0,Good,8,Good,1,Good,21,Good
Itapemirim,44,Good,1,Good,16,Good,1,Good,44,Good
Torit,65,Moderate,1,Good,12,Good,0,Good,65,Moderate
Totonicapan,66,Moderate,2,Good,7,Good,6,Good,66,Moderate
Trenton,53,Moderate,1,Good,28,Good,10,Good,53,Moderate
Trujillo Alto,56,Moderate,0,Good,23,Good,0,Good,56,Moderate
Tullamore,57,Moderate,1,Good,26,Good,3,Good,57,Moderate
Tunceli,62,Moderate,0,Good,35,Good,0,Good,62,Moderate
